x1,x2,target
16.24,-1.53,71.39
-6.12,-24.33,50.89
-5.28,5.08,24.509999999999998
-10.73,-3.24,8.63
8.65,-15.11,-136.16
-23.02,-8.71,112.95
17.45,-8.65,-4.43
-7.61,6.09,75.91
3.19,5.62,92.53
-2.49,15.15,4.73
14.62,6.48,123.22000000000001
-20.6,-13.52,66.13
-3.22,-14.09,158.89
-3.84,11.31,78.67
11.34,15.67,79.82
-11.0,-2.38,36.75
-1.72,5.59,175.42000000000002
-8.78,-15.05,-124.55
0.42,-19.44,-12.490000000000002
5.83,-11.74,8.030000000000001
-11.01,-3.57,-64.99000000000001
11.45,-5.21,-30.240000000000002
9.02,-2.3,-135.09
5.02,-4.91,55.300000000000004
9.01,6.79,-64.64
-6.84,14.28,100.71000000000001
-1.23,0.36,30.65
-9.36,20.3,13.04
-2.68,-6.34,-77.96
5.3,-5.25,-15.18
-6.92,3.88,85.64999999999999
-3.97,-3.55,40.38
-6.87,11.77,121.94
-8.45,-6.41,-11.030000000000001
-6.71,13.23,198.42
-0.13,1.94,33.03
-11.17,25.65,19.2
2.34,-4.64,147.83
16.6,-2.03,139.98000000000002
7.42,1.46,36.83
-1.92,-21.81,-8.63
-8.88,6.02,137.71
-7.47,4.81,-9.250000000000002
16.92,1.09,108.99
0.51,-15.44,-76.92
-6.37,-15.47,34.23
1.91,5.87,54.9
21.0,11.75,137.4
1.2,15.94,-81.60000000000001
6.17,-8.95,53.63
3.0,-10.31,27.03
-3.52,-2.72,51.029999999999994
-11.43,-19.76,-29.060000000000002
-3.49,-5.89,-56.55
-2.09,8.52,23.56
5.87,16.35,41.150000000000006
8.39,2.79,162.41
9.31,16.41,66.00999999999999
2.86,4.11,50.91
8.85,1.91,98.93
-7.54,-1.71,-73.12
12.53,1.87,97.15
5.13,-2.55,115.55000000000001
-2.98,-1.41,124.13999999999999
4.89,-6.62,11.85
-0.76,2.59,-45.47
11.32,0.14,-39.97
15.2,-14.8,39.8
21.86,-2.41,68.67
-13.96,-8.56,157.52
-14.44,-20.48,165.67000000000002
-5.04,4.84,129.58
1.6,15.59,66.7
8.76,23.7,86.13
3.16,15.62,43.64
-20.22,-8.71,145.89999999999998
-3.06,11.75,112.35000000000001
8.28,11.2,70.19
2.3,-19.88,-72.63
7.62,8.61,134.72
-2.22,6.27,-63.660000000000004
-2.01,1.63,152.17999999999998
1.87,2.89,129.79000000000002
4.1,0.58,-80.49
1.98,16.32,60.459999999999994
1.19,-4.02,-54.52
-6.71,-2.0,43.14
3.78,0.07,90.7
1.22,2.76,40.61
11.29,-17.63,-88.03
11.99,13.88,72.76
1.85,2.26,71.17
-3.75,5.69,57.260000000000005
-6.39,1.97,-25.25
4.23,-1.86,15.93
0.77,-3.55,67.16
-3.44,0.96,42.0
0.44,1.52,220.09
-6.2,11.55,88.24
6.98,3.46,29.94
-4.47,-1.33,91.75
12.25,19.87,-30.81
4.03,-12.79,66.84
5.94,-13.4,160.0
-10.95,3.55,-6.199999999999999
1.69,-2.12,70.1
7.41,-17.75,86.21000000000001
-9.54,-3.12,-79.05
-2.66,-7.11,176.66000000000003
0.33,11.31,-22.62
-13.73,-6.21,30.72
3.15,10.51,87.81
8.46,4.6,27.53
-8.6,-2.06,120.77000000000001
3.51,0.21,58.77
-13.12,4.29,112.99
-0.39,-23.08,33.31
-16.16,3.27,187.19
11.21,-3.79,-126.24
4.09,17.98,93.02
-0.25,-6.91,19.29
-7.75,11.43,-7.539999999999999
12.74,-25.15,-52.82
19.67,8.15,-7.280000000000001
-18.58,2.76,117.60999999999999
12.36,-2.47,-36.52
16.28,-1.21,19.46
3.38,-2.61,66.03
-11.99,4.23,-26.240000000000002
8.63,-1.34,129.02
-1.81,-17.88,227.66
-6.04,-1.86,0.2599999999999998
-12.3,22.35,158.21
5.51,0.47,20.19
7.93,2.91,87.65
-6.24,-4.38,37.32
5.21,1.74,223.22
-11.44,1.78,37.269999999999996
8.02,-2.61,102.88000000000001
0.47,8.63,106.75
-1.87,-9.23,-44.08
-1.02,-1.3,-123.1
8.69,5.05,92.69
7.5,-2.67,107.39
5.29,-12.24,-10.470000000000002
1.38,5.58,3.5300000000000002
0.78,-9.82,117.53999999999999
6.18,-4.47,107.58000000000001
2.32,-8.28,115.87
6.83,-1.11,62.97
-3.1,-4.29,-14.25
-24.35,-4.75,-27.839999999999996
10.39,6.81,-113.03
21.87,17.63,41.15
4.41,-3.58,195.54
-1.0,5.23,94.46000000000001
-1.36,-3.55,41.43
-1.19,0.99,-69.47999999999999
0.17,11.28,7.68
-11.22,0.5,62.12
-5.17,-8.16,29.229999999999997
-9.97,-7.3,125.34
2.49,-6.17,28.650000000000002
-2.97,-0.13,108.46000000000001
4.95,8.58,44.49
-1.75,-13.59,22.98
9.86,-10.37,130.5
2.14,-9.25,-21.55
21.91,-17.49,-12.04
-18.96,13.26,-21.200000000000003
-6.47,-0.36,63.85
9.01,19.01,145.56
25.28,-14.24,64.99000000000001
-2.49,12.94,124.15
0.44,-7.02,126.78000000000002
